,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2022-01-03,aapl,177.8300018310547,182.8800048828125,177.7100067138672,179.72454833984375,104487900.0,0.0,4.767871228406364,181.52958835848023,165.0432693075354,64.84481600491361,102.67766312009621,50.480447918305,168.76854858398437,157.7258186340332,16.600000381469727,9.474100076190993
0,2022-01-03,amzn,167.5500030517578,170.70350646972656,166.16050720214844,170.4044952392578,63520000.0,0.0,-1.2311279229436138,175.93622604462243,165.6473265066471,49.07544955411852,-68.05741273472607,3.715560179583665,172.6172841389974,171.84785054524738,16.600000381469727,9.474100076190993
0,2022-01-03,ibm,134.07000732421875,136.2899932861328,133.6300048828125,122.36373901367188,4605900.0,0.0,3.2351865141944387,123.51465404148243,106.08107883815623,65.91193961315957,142.56636651533816,54.86826189755224,111.61449559529622,111.57631708780924,16.600000381469727,9.474100076190993
0,2022-01-03,msft,335.3500061035156,338.0,329.7799987792969,328.12091064453125,28865100.0,0.0,2.064317132017891,340.195107555199,313.9823887826916,54.268199478301916,5.695316191682518,2.213435483288351,327.1227213541667,320.50702006022135,16.600000381469727,9.474100076190993
1,2022-01-04,aapl,182.6300048828125,182.94000244140625,179.1199951171875,177.44354248046875,99310400.0,1.0,4.622888983625927,180.94150918808484,167.05128713759873,62.507703434099334,95.51453825282088,50.58188326058905,169.39886525472005,158.33487803141276,16.90999984741211,3.1712194930053235
1,2022-01-04,amzn,170.43800354003906,171.39999389648438,166.34950256347656,167.52200317382812,70726000.0,1.0,-1.324962093581803,175.9370934577322,165.26180943533421,46.80890855376585,-78.39942228895599,0.46578243037296313,172.0737340291341,171.8993672688802,16.90999984741211,3.1712194930053235
1,2022-01-04,ibm,136.10000610351562,139.9499969482422,135.89999389648438,124.14471435546875,7300000.0,1.0,3.4965025887291006,124.63643957309759,106.58823388881646,67.89798872431817,158.52555528291376,63.48645065280657,112.27320683797201,111.6198132832845,16.90999984741211,3.1712194930053235
1,2022-01-04,msft,334.8299865722656,335.20001220703125,326.1199951171875,322.4945373535156,32674300.0,1.0,1.3966905117322312,340.0620930637054,314.3918162380524,51.440352035785146,-43.52986942852266,9.036682316025596,326.6620279947917,321.0738754272461,16.90999984741211,3.1712194930053235
2,2022-01-05,aapl,179.61000061035156,180.1699981689453,174.63999938964844,172.72357177734375,94537600.0,2.0,4.080094530815046,180.75680534347237,167.6052933503753,58.03059558825439,50.30955874479847,29.421365655391302,169.85638020833332,158.86674957275392,19.729999542236328,9.559223566302377
2,2022-01-05,amzn,166.88299560546875,167.12649536132812,164.35699462890625,164.35699462890625,64302000.0,2.0,-1.6358589249464046,175.36694444711975,164.65120740834902,44.475707410032236,-139.73870874997758,9.169264683635971,171.59801737467447,171.93340047200522,19.729999542236328,9.559223566302377
2,2022-01-05,ibm,138.30999755859375,142.1999969482422,137.8800048828125,124.32460021972656,8956900.0,2.0,3.6757410911260706,125.67839191364591,107.0429978568619,68.09223222792099,159.42514956379412,67.55755483028902,112.92532196044922,111.67748069763184,19.729999542236328,9.559223566302377
2,2022-01-05,msft,325.8599853515625,326.07000732421875,315.9800109863281,310.1146545410156,40054300.0,2.0,-0.1298644779416236,341.2406521942571,311.39597195125066,45.985951929398134,-172.42214315081478,24.614873010847557,325.8958404541016,321.444509379069,19.729999542236328,9.559223566302377
3,2022-01-06,aapl,172.6999969482422,175.3000030517578,171.63999938964844,169.84024047851562,96904000.0,3.0,3.3783220834833116,180.8667135334878,167.1912500285239,55.51770257418188,7.437013627045,17.592563420161902,170.20494689941407,159.371928914388,19.610000610351562,3.4180748887711503
3,2022-01-06,amzn,163.45050048828125,164.8000030517578,161.93699645996094,163.25399780273438,51958000.0,3.0,-1.9487851473346893,174.7118347870592,164.01591637260876,43.69059071015255,-177.8147500808387,18.429699464967015,171.07308400472004,171.94819208780925,19.610000610351562,3.4180748887711503
3,2022-01-06,ibm,138.1999969482422,138.41000366210938,132.50999450683594,121.73412322998047,9908100.0,3.0,3.5676335927835368,126.1205399268479,107.70899651114038,62.46188350022354,104.72239596423793,30.450251913874848,113.48149388631185,111.71969388326009,19.610000610351562,3.4180748887711503
3,2022-01-06,msft,313.1499938964844,318.70001220703125,311.489990234375,307.66412353515625,39646100.0,3.0,-1.5198873623079976,342.3310680476891,308.2383136661781,45.00870018049838,-205.62818045834265,30.267625219800642,325.1182169596354,321.7963139851888,19.610000610351562,3.4180748887711503
4,2022-01-07,aapl,172.88999938964844,174.13999938964844,171.02999877929688,170.00811767578125,86709100.0,4.0,2.8033928816977323,180.94794637862017,166.8740186482353,55.63341855960043,-3.39918085738303,15.3019895371197,170.54166514078776,159.88976669311523,18.760000228881836,0.2358454998215683
4,2022-01-07,amzn,163.83900451660156,165.24349975585938,162.031005859375,162.5540008544922,46606000.0,4.0,-2.2275870992384625,174.4467851315054,163.11926558870942,43.190049096841605,-177.72385238375412,16.110651849067168,170.52420094807943,171.92052536010743,18.760000228881836,0.2358454998215683
4,2022-01-07,ibm,134.89999389648438,135.66000366210938,133.50999450683594,121.27538299560547,5238100.0,4.0,3.405682530168633,126.40264583370374,108.43969120242907,61.529844911858916,89.49162920424222,30.450251913874848,114.02417322794597,111.750159962972,18.760000228881836,0.2358454998215683
4,2022-01-07,msft,314.1499938964844,316.5,310.0899963378906,307.82098388671875,32720000.0,4.0,-2.5791029005067685,343.08018330235075,305.62094279628207,45.085975496102726,-192.061536252048,31.96794022597458,324.3383066813151,322.0948018391927,18.760000228881836,0.2358454998215683
5,2022-01-10,aapl,169.0800018310547,172.5,168.1699981689453,170.02784729003906,106765600.0,0.0,2.3225761500208364,180.61508140376526,166.48999672123472,55.64744588668914,-30.76085113785694,5.046732559317105,171.0478937784831,160.3610979715983,19.399999618530273,0.2775776883520071
5,2022-01-10,amzn,160.5854949951172,161.6614990234375,156.30450439453125,161.48599243164062,87798000.0,0.0,-2.5058333220772795,174.53970736053148,161.95374204132398,42.42294400717388,-238.18501017522283,33.95988411145201,170.06613413492838,171.86207529703776,19.399999618530273,0.2775776883520071
5,2022-01-10,ibm,134.47000122070312,136.1999969482422,133.3800048828125,121.45528411865234,5432800.0,0.0,3.254337684315459,126.62964943371874,109.19670554675001,61.76132410611913,85.7282342661376,32.176162766494244,114.60043284098307,111.74642779032389,19.399999618530273,0.2775776883520071
5,2022-01-10,msft,309.489990234375,314.7200012207031,304.69000244140625,308.04644775390625,44289500.0,0.0,-3.36159541652205,342.23394424293474,303.69616745140115,45.200476845889526,-188.0924766570996,38.182848767123076,323.8348124186198,322.29203135172526,19.399999618530273,0.2775776883520071
6,2022-01-11,aapl,172.32000732421875,175.17999267578125,170.82000732421875,172.881591796875,76138300.0,1.0,2.1470489146367413,180.58888010717789,166.45102620385728,57.65091538954127,1.2554941274774367,12.814318881608761,171.53634999593098,160.86224365234375,18.40999984741211,5.492126877643655
6,2022-01-11,amzn,161.5,166.35000610351562,160.70150756835938,165.36199951171875,62806000.0,1.0,-2.386078848431083,174.42394727769442,161.64895158705167,46.02225244960122,-129.93753576797326,12.930242245666951,169.64225056966146,171.7772585550944,18.40999984741211,5.492126877643655
6,2022-01-11,ibm,130.52000427246094,133.25,127.97000122070312,119.5124282836914,11105300.0,1.0,2.943690542646536,126.33037584715684,110.42153226441543,57.87105719408211,41.64426472136708,4.424041184765431,115.03127848307291,111.6930601755778,18.40999984741211,5.492126877643655
6,2022-01-11,msft,313.3800048828125,316.6099853515625,309.8900146484375,308.7424011230469,29386800.0,1.0,-3.880832926214964,341.4654506587099,302.07101784714945,45.56292721293819,-144.7649577181688,33.61608599215958,323.1274373372396,322.4770538330078,18.40999984741211,5.492126877643655
7,2022-01-12,aapl,176.1199951171875,177.17999267578125,174.82000732421875,173.325927734375,74805200.0,2.0,2.020505384325702,180.61926738766627,166.53913104983374,57.95681527594787,31.015898667382956,18.155366699126787,171.8730677286784,161.3426935831706,17.6200008392334,0.9779133722334106
7,2022-01-12,amzn,166.5749969482422,166.8780059814453,164.41700744628906,165.20700073242188,50030000.0,2.0,-2.2774269116044934,174.3300876989209,161.3543605432666,45.90354368185201,-91.38138557828204,10.835649826717052,169.3040339152018,171.65842514038087,17.6200008392334,0.9779133722334106
7,2022-01-12,ibm,133.25,134.47000122070312,131.3699951171875,120.16004943847656,5352000.0,2.0,2.7184217853942556,126.07293810732872,111.56314816586465,58.76665914862472,58.813013147341394,9.028461802973844,115.52568639119467,111.68287404378255,17.6200008392334,0.9779133722334106
